 Rank  Player  Age  Elo  HardRaw  ClayRaw  GrassRaw  hElo  cElo  gElo  Peak Match  Peak Age  Peak Elo  
 128  Constant Lestienne  31.6  1651.8  1599.5  1330.3  1349.0  1625.7  1491.0  1500.4  2023 Australian Open R128  30.6  1776.4  
 129  Thiago Seyboth Wild  23.8  1651.6  1344.0  1717.4  1390.4  1497.8  1684.5  1521.0  2023 Basel Qual  23.6  1749.0  
 130  Corentin Moutet  24.5  1650.5  1587.1  1590.9  1491.3  1618.8  1620.7  1570.9  2023 Australian Open R128  23.7  1820.1  
 131  Zizou Bergs  24.6  1648.7  1531.1  1603.6  1546.4  1589.9  1626.2  1597.6  2021 Braunschweig CH R16  22.0  1722.2  
 132  Liam Broady  29.9  1648.6  1603.8  1348.0  1466.8  1626.2  1498.3  1557.7  2022 Phoenix CH QF  28.1  1741.8  
 133  Pierre Hugues Herbert  32.8  1647.5  1579.7  1548.5  1517.6  1613.6  1598.0  1582.5  2019 Montpellier SF  27.8  1845.0  
 134  Zachary Svajda  21.1  1646.8  1591.0  1288.6  1452.6  1618.9  1467.7  1549.7  2023 Fairfield CH F  20.8  1743.4  
 135  Kei Nishikori  33.5  1646.5  1577.1  1505.3  1500.0  1611.8  1575.9  1573.3  2016 US Open QF  26.6  2210.7  
 136  Pedro Martinez  26.7  1645.9  1550.4  1586.4  1279.0  1598.2  1616.2  1462.4  2022 Monte Carlo R64  24.9  1822.0  
 137  Ilya Ivashka  29.8  1642.5  1560.1  1602.3  1505.7  1601.3  1622.4  1574.1  2021 Nur-Sultan QF  27.5  1911.8  
 138  Daniel Elahi Galan  27.5  1638.3  1461.5  1586.4  1547.6  1549.9  1612.3  1593.0  2022 San Diego R16  26.2  1745.9  
 139  Juan Pablo Varillas  28.2  1636.8  1323.6  1664.9  1256.0  1480.2  1650.9  1446.4  2023 Rio De Janeiro R32  27.3  1725.8  
 140  Duje Ajdukovic  22.9  1628.2  1550.5  1499.7  1445.8  1589.4  1564.0  1537.0  2024 Quimper CH SF  22.9  1645.7  
 141  Jaume Munar  26.6  1625.5  1452.4  1661.4  1297.4  1539.0  1643.4  1461.5  2022 Cincinnati Qual  25.2  1807.5  
 142  Oscar Otte  30.3  1622.0  1508.9  1561.8  1594.7  1565.4  1591.9  1608.3  2022 Wimbledon R128  28.9  1824.8  
 143  Arthur Fery  21.4  1620.4  1561.4  -  1324.5  1590.9  1420.2  1472.5  2023 Brest CH R16  21.2  1652.3  
 144  Luciano Darderi  21.9  1620.0  1280.8  1604.5  1346.2  1450.4  1612.2  1483.1  2023 Lima CH F  21.7  1672.9  
 145  Pablo Llamas Ruiz  21.2  1618.9  1524.7  1551.5  1421.0  1571.8  1585.2  1520.0  2023 Seville CH R16  20.8  1716.0  
 146  Andrea Vavassori  28.6  1618.9  1497.4  1602.8  1397.8  1558.1  1610.8  1508.3  2023 Madrid R128  27.9  1710.1  
 147  Pablo Cuevas  38.0  1617.5  1527.0  1580.3  1424.0  1572.2  1598.9  1520.7  2016 Nottingham SF  30.4  1908.8  
 148  Nikoloz Basilashvili  31.2  1616.0  1514.6  1608.4  1548.5  1565.3  1612.2  1582.2  2018 Shanghai R64  26.6  1877.8  
 149  Hugo Dellien  30.5  1614.0  1309.7  1610.2  1310.0  1461.9  1612.1  1462.0  2023 Santiago CH F  29.7  1768.5  
 150  Roman Andres Burruchaga  21.9  1612.1  1399.6  1561.7  -  1505.8  1586.9  1506.0  2024 Punta Del Este CH QF  21.9  1612.1  
 151  Camilo Ugo Carabelli  24.5  1611.7  1343.4  1585.6  -  1477.6  1598.7  1505.9  2022 Poznan CH R32  22.9  1671.9  
 152  Vit Kopriva  26.5  1611.6  1399.5  1564.4  1388.9  1505.5  1588.0  1500.2  2022 Blois CH QF  24.9  1671.5  
 153  Billy Harris  28.9  1611.1  1545.8  1063.8  1403.4  1578.5  1337.5  1507.2  2024 Australian Open Qual  28.9  1657.8  
 154  Radu Albot  34.1  1610.5  1522.3  1527.3  1523.2  1566.4  1568.9  1566.9  2019 Geneva QF  29.5  1808.5  
 155  Filip Misolic  22.4  1609.4  1462.0  1589.8  1318.5  1535.7  1599.6  1463.9  2022 Naples Qual  21.1  1694.3  
 156  Federico Coria  31.8  1605.4  1381.6  1592.0  1226.6  1493.5  1598.7  1416.0  2021 Bastad SF  29.3  1741.6  
 157  Sumit Nagal  26.4  1605.1  1540.0  1507.2  1346.9  1572.5  1556.1  1476.0  2019 Campinas CH QF  22.1  1717.2  
 158  Marc Andrea Huesler  27.5  1604.9  1553.6  1474.0  1518.8  1579.2  1539.4  1561.8  2023 Montpellier R32  26.6  1806.0  
 159  Steve Johnson  33.8  1600.4  1547.5  1550.9  1504.2  1573.9  1575.6  1552.3  2017 Geneva R16  27.4  1932.6  
 160  Egor Gerasimov  31.1  1599.4  1537.2  1445.5  1279.4  1568.3  1522.4  1439.4  2020 Davis Cup QLS R1  27.3  1791.2  
 161  Denis Kudla  31.4  1599.4  1518.3  1403.6  1582.2  1558.9  1501.5  1590.8  2015 Atlanta Qual  22.9  1772.6  
 162  Benjamin Hassan  28.9  1599.0  1477.0  1568.4  1405.5  1538.0  1583.7  1502.2  2023 Basel Qual  28.7  1680.3  
 163  Facundo Bagnis  33.8  1598.4  1410.9  1590.6  1177.4  1504.6  1594.5  1387.9  2021 Salzburg CH F  31.3  1719.3  
 164  Pedro Cachin  28.7  1597.8  1314.8  1657.0  1302.9  1456.3  1627.4  1450.3  2022 Us Open R64  27.3  1757.2  
 165  Damir Dzumhur  31.6  1594.6  1523.2  1525.3  1527.1  1558.9  1560.0  1560.9  2018 Dubai R32  25.7  1888.1  
 166  Francisco Comesana  23.2  1592.5  1312.1  1592.8  -  1452.3  1592.6  1496.2  2023 Santa Cruz De La Sierra CH SF  22.9  1696.0  
 167  Maxime Cressy  26.6  1590.5  1546.5  1334.8  1508.4  1568.5  1462.7  1549.4  2023 Rotterdam R32  25.7  1835.8  
 168  Kyrian Jacquet  22.6  1590.3  1491.7  1463.4  -  1541.0  1526.9  1495.2  2021 Tampere CH QF  20.1  1602.0  
 169  Jiri Vesely  30.5  1589.8  1594.0  1480.8  1555.3  1591.9  1535.3  1572.6  2014 Wimbledon R64  20.9  1892.5  
 170  Felipe Meligeni Alves  25.9  1589.1  1501.4  1484.6  1425.7  1545.2  1536.8  1507.4  2023 Campinas CH R32  25.6  1694.9  
 171  Mattia Bellucci  22.6  1587.8  1490.6  1296.3  1480.0  1539.2  1442.1  1533.9  2022 Vilnius CH F  21.3  1724.5  
 172  Marco Cecchinato  31.2  1587.5  1311.0  1556.8  1298.2  1449.2  1572.1  1442.9  2018 Umag F  25.7  1829.2  
 173  Abedallah Shelbayh  20.1  1586.6  1508.9  1394.6  1417.3  1547.8  1490.6  1502.0  2024 Australian Open Qual  20.1  1630.1  
 174  Mikhail Kukushkin  36.0  1586.4  1533.6  1460.4  1547.5  1560.0  1523.4  1566.9  2010 St. Petersburg F  22.8  1849.8  
 175  Zsombor Piros  24.2  1586.3  1420.2  1565.1  1546.2  1503.2  1575.7  1566.2  2023 Madrid Qual  23.5  1723.4  
 176  Brandon Holt  25.7  1584.2  1524.1  1232.5  1386.5  1554.1  1408.3  1485.3  2023 Dallas Qual  24.8  1625.4  
